Veh. Name	Veh. ID	Manufacterer	Trim level	Size	Performance	Safety	Insurance	Warranty	Price	"Wheelbase, in."	"Overall Length, in."	"Overall Width, in."	"Overall Height, in."	"Curb Weight, lbs."	"Cargo Volume, cu. ft."	"Fuel Capacity, gals."	Seating Capacity	"Front Head Room, in."	"Max. Front Leg Room, in."	"Rear Head Room, in."	"Min. Rear Leg Room, in."	"Size, liters/cu. in"	Horsepower 	 rpm	Torque (lb-ft) @ rpm	MPG (city)	MPG (highway)	"Front Impact, Driver"	"Front Impact, Passenger"	Rollover Resistance	"Side Impact, Driver"	"Side Impact, Rear Passenger"	Insurance Costs	Bumper-to-bumper	Extended powertrain	Corrosion	Free roadside assistance	Free scheduled maintenance	Retail Price	Dealer Invoice
S	I	S	S	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	I	I	I	I	I	I	I	I	I	I	I	I	I
N	N	N	N	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q
2005 Ford GT	38049	Ford	Standard	0.15	0.05	0.11	-0.11	0.03	-0.12	106.7	182.8	76.9	44.3	3485	2	17.5	2	35.4	44.6	NA	NA	5.4	550	6500	500	13	21	NA	NA	NA	NA	NA	2430	108000	0	600000	108000	0	139995	128506
2005 Chrysler 300	38054	Chrysler	Base	0.24	0.02	0.12	-0.04	0.03	-0.02	120	196.8	74.1	58.4	3721	15.6	18	5	38.7	41.8	38	40.2	2.7	190	6400	190	21	28	5	5	2	4	5	1350	108000	490000	500000	108000	0	23405	21905
2005 Chrysler 300	38054	Chrysler	Touring	0.24	0.03	0.13	-0.06	0.03	-0.02	120	196.8	74.1	58.4	3721	15.6	18	5	38.7	41.8	38	40.2	3.5	250	6400	250	19	27	5	5	4	4	5	1530	108000	490000	500000	108000	0	27305	25415
2005 Chrysler 300	38054	Chrysler	Touring	0.24	0.03	0.13	-0.06	0.03	-0.03	120	196.8	74.1	58.4	3721	15.6	18	5	38.7	41.8	38	40.2	3.5	250	6400	250	19	27	5	5	4	4	5	1530	108000	490000	500000	108000	0	29405	27305
2005 Chrysler 300	38054	Chrysler	300C	0.24	0.04	0.13	-0.07	0.03	-0.03	120	196.8	74.1	58.4	3721	15.6	18	5	38.7	41.8	38	40.2	5.7	340	5000	390	17	25	5	5	4	4	5	1710	108000	490000	500000	108000	0	33130	30657
2005 Chrysler 300	38054	Chrysler	300C	0.24	0.04	0.13	-0.07	0.03	-0.03	120	196.8	74.1	58.4	3721	15.6	18	5	38.7	41.8	38	40.2	5.7	340	5000	390	17	25	5	5	4	4	5	1710	108000	490000	500000	108000	0	34455	31850
2005 Chrysler 300	38054	Chrysler	SRT-8	0.24	0.04	0.13	-0.1	0.03	-0.04	120	196.8	74.1	58.4	3721	15.6	18	5	38.7	41.8	38	40.2	6.1	425	6000	420	14	18	5	5	4	4	5	2250	108000	490000	500000	108000	0	39370	36708
2005 Dodge Magnum	38055	Dodge	SE	0.24	0.02	0.14	-0.03	0.03	-0.02	120	197.7	74.1	58.4	3855	71.6	18	5	38.4	41.8	38.1	40.2	2.7	190	6400	190	21	28	5	5	NA	4	5	1170	108000	490000	500000	108000	0	22020	20488
2005 Dodge Magnum	38055	Dodge	"SXT, optional SE"	0.24	0.02	0.14	-0.04	0.03	-0.02	120	197.7	74.1	58.4	3855	71.6	18	5	38.4	41.8	38.1	40.2	3.5	250	6400	250	18	25.5	5	5	NA	4	5	1350	108000	490000	500000	108000	0	28050	25915
2005 Dodge Magnum	38055	Dodge	RT	0.24	0.04	0.14	-0.06	0.03	-0.03	120	197.7	74.1	58.4	3855	71.6	18	5	38.4	41.8	38.1	40.2	5.7	340	5000	390	17	25	5	5	NA	4	5	1530	108000	490000	500000	108000	0	30070	27733
2005 Dodge Magnum	38055	Dodge	RT	0.24	0.04	0.14	-0.06	0.03	-0.03	120	197.7	74.1	58.4	3855	71.6	18	5	38.4	41.8	38.1	40.2	5.7	340	5000	390	17	25	5	5	NA	4	5	1530	108000	490000	500000	108000	0	32070	29533
2005 Acura NSX	38058	Acura	Standard	0.13	0.02	0.11	-0.11	0.05	-0.08	99.6	174.2	71.3	46.1	3153	5	18.5	2	36.3	44.3	NA	NA	3.2	290	7100	224	17	24	NA	NA	NA	NA	NA	2430	200000	0	600000	200000	0	89000	79213
2005 Acura NSX	38058	Acura	Standard	0.13	0.02	0.11	-0.11	0.05	-0.08	99.6	174.2	71.3	46.1	3153	5	18.5	2	36.3	44.3	NA	NA	3.2	290	7100	224	17	24	NA	NA	NA	NA	NA	2430	200000	0	600000	200000	0	89000	79213
2005 Acura RSX	38059	Acura	Base	0.12	0.02	0.13	-0.08	0.05	-0.01	101.2	172.4	67.9	54.9	2734	16	13.2	4	37.8	43.1	34.1	29.2	2	160	6500	141	26	34	5	5	4	4	NA	1980	200000	0	600000	200000	0	20275	18488
